        -nan         -nan         -nan
        -nan         -nan         -nan
        -nan         -nan         -nan
     478.462      1082.24     -596.282
     1082.24     -1100.56     -1688.08
    -596.282     -1688.08       728.17
     14829.1      36641.5     -46003.4
     36641.5     -81128.9      -219749
    -46003.4      -219749      77285.3
     31.1832      63.6228     -159.742
     63.6228     -280.594     -956.843
    -159.742     -956.843      283.718
     5.29526     -1.27421     -34.1567
    -1.27421     -67.6307      -278.68
    -34.1567      -278.68      69.4244
    -5.61887     -41.3124     -51.5358
    -41.3124     -67.9752     -417.331
    -51.5358     -417.331      81.2181
    -53.9291     -177.943     -183.073
    -177.943     -87.7823     -1144.47
    -183.073     -1144.47      175.122
    -86.0171     -267.409     -203.334
    -267.409     -14.5495     -1298.03
    -203.334     -1298.03      146.724
    -25.0035     -106.387     -64.5127
    -106.387     -47.5743     -528.515
    -64.5127     -528.515      86.7623
    -18.1544      -75.776     -85.0054
     -75.776     -17.4214      -591.87
    -85.0054      -591.87      46.1475
    -9.84999     -58.4071     -19.3853
    -58.4071     -4.40154     -200.902
    -19.3853     -200.902      20.5546
     -5.7406      -47.371     -27.6374
     -47.371      4.49296     -271.067
    -27.6374     -271.067      2.67141
     -6.5603     -53.8245     -5.89154
    -53.8245      4.73731     -97.4516
    -5.89154     -97.4516      7.12721
     668.331      2312.43     -797.252
     2312.43     -1402.67     -1461.08
    -797.252     -1461.08      778.796
    -4.86261     -205.844     -814.769
    -205.844     -2681.87     -6266.57
    -814.769     -6266.57      2991.86
     649.273      2418.42     -1402.08
     2418.42     -3430.29     -6261.59
    -1402.08     -6261.59      2976.38
    -412.606     -1841.79     -250.878
    -1841.79     -1618.09      -5118.9
    -250.878      -5118.9      2306.52
    -634.352     -2621.28      152.073
    -2621.28     -598.397     -3352.65
     152.073     -3352.65      1515.61
     -159.04     -874.958     -836.241
    -874.958     -3096.13      -8062.9
    -836.241      -8062.9      3587.53
    -171.181     -762.964      80.9844
    -762.964     -98.1322     -652.256
     80.9844     -652.256      272.688
    -86.5613     -410.185     -2.24845
    -410.185     -212.972     -719.708
    -2.24845     -719.708      298.514
    -25.4545     -145.904      18.0924
    -145.904     -7.49903     -89.7409
     18.0924     -89.7409      31.7383
    -353.504     -1498.11      209.731
    -1498.11      11.5331      -883.32
     209.731      -883.32      368.866
     -39.065     -213.203      33.3512
    -213.203      11.3334     -68.6479
     33.3512     -68.6479      24.4369
    -63.0188     -321.028      51.1213
    -321.028      27.6115      -92.453
     51.1213      -92.453       33.093
     -38.304     -186.592     -39.8154
    -186.592     -201.099     -606.553
    -39.8154     -606.553      241.169
    -15.6438     -92.1272      4.77754
    -92.1272     -23.2054     -111.314
     4.77754     -111.314      37.6865
    -6.71973     -45.9485     -1.88094
    -45.9485     -22.2044      -88.359
    -1.88094      -88.359       27.715
    -8.60833     -53.3669     -28.7312
    -53.3669     -98.2963     -285.011
    -28.7312     -285.011      105.617
    -15.9626     -123.935     -232.514
    -123.935     -726.746     -1930.02
    -232.514     -1930.02      819.852
     7.83566     -1.10914     -84.1739
    -1.10914     -226.512      -588.15
    -84.1739      -588.15      232.994
     217.848      777.216     -435.696
     777.216     -990.557     -1950.97
    -435.696     -1950.97      856.615
     894.272      3396.73     -1841.48
     3396.73     -4392.06     -8044.98
    -1841.48     -8044.98       3754.4
      577.42      2044.23     -669.505
     2044.23     -1137.49     -1203.35
    -669.505     -1203.35      618.022
     94.4153      287.091     -155.194
     287.091     -334.539     -623.636
    -155.194     -623.636      257.929
      439.37       1401.9     -453.631
      1401.9     -793.495     -812.723
    -453.631     -812.723      395.778
     165.762      444.942     -147.985
     444.942     -274.711     -286.228
    -147.985     -286.228      128.293
     546.154       1914.2     -629.836
      1914.2     -1079.26      -1083.9
    -629.836      -1083.9      569.088
    -291.758     -1559.35      213.967
    -1559.35      241.823     -324.458
     213.967     -324.458      94.3348
    -174.019     -965.656      131.469
    -965.656      135.567     -204.294
     131.469     -204.294      59.1043
    -8135.19     -47721.7      5409.87
    -47721.7      6135.48     -12423.6
     5409.87     -12423.6      3218.33
     -4689.6     -26476.3      3062.32
    -26476.3      3828.65      -6539.7
     3062.32      -6539.7      1703.92
    -4117.54     -24456.2       2526.2
    -24456.2      2389.27     -8629.98
      2526.2     -8629.98      2232.79
    -159.393     -1090.65      100.034
    -1090.65      123.761     -356.053
     100.034     -356.053      79.4833
    -126.931     -891.034      75.5864
    -891.034      81.3065     -352.454
     75.5864     -352.454      77.5227
    -26.7262     -285.118      16.9052
    -285.118      23.5822     -130.739
     16.9052     -130.739      20.3942
    -173.445     -1160.12      108.181
    -1160.12      142.816      -359.01
     108.181      -359.01       80.635
    -28.1439     -308.675      19.7932
    -308.675      26.6568     -123.739
     19.7932     -123.739      19.6763
    -27.5929     -306.052      19.7179
    -306.052      31.3061     -117.175
     19.7179     -117.175      18.6703
    -78.8935     -519.862      35.2236
    -519.862      40.0162     -271.113
     35.2236     -271.113      56.7578
    -19.6001     -200.483      9.85849
    -200.483       16.693     -108.809
     9.85849     -108.809      15.7917
    -13.5245     -126.492      4.10346
    -126.492       9.8417     -85.2379
     4.10346     -85.2379      11.1149
    -47.2962     -284.343       11.125
    -284.343      18.9443     -200.656
      11.125     -200.656      38.2847
    -368.124     -2057.16      158.752
    -2057.16      138.429     -1118.85
     158.752     -1118.85      276.731
    -103.475     -540.189      19.5334
    -540.189      20.0447      -440.39
     19.5334      -440.39      99.4767
    -75.4304     -411.396      32.4742
    -411.396      7.16163     -283.721
     32.4742     -283.721      79.8231
    -143.579      -806.75      95.8086
     -806.75      72.3381      -295.88
     95.8086      -295.88      86.5775
    -33.7081     -177.051      3.88818
    -177.051     -13.5551     -194.138
     3.88818     -194.138      50.4499
    -54.5519     -232.353     -28.6938
    -232.353       14.024     -370.432
