 12.5931  19.1694  -20.297
 19.1694 -103.597 -114.959
 -20.297 -114.959   75.944
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
    -nan     -nan     -nan
