        -nan         -nan         -nan
        -nan         -nan         -nan
        -nan         -nan          inf
      2241.4      10846.4     -2184.21
     13943.6      70169.4     -14185.2
     -1974.4     -9981.82      2088.25
      311643  1.83015e+06      -312042
 2.26724e+06  1.33199e+07 -2.27081e+06
     -264426 -1.55329e+06       264887
     1654.38      9906.19     -1477.14
     11841.5      77246.9     -11206.6
    -1277.57     -8065.19      1248.85
     476.754      2741.64     -372.371
     3075.39      24231.1     -2968.67
    -309.255     -2140.33      336.648
     862.763      5437.49     -555.851
     5739.71        42176     -4061.08
    -423.381     -2864.87       349.14
     4675.76      26003.7     -2048.54
       27161       157121     -11980.5
    -1292.63     -7085.75      655.686
      5795.5      33100.2     -1920.02
     33356.3       196227     -11068.5
    -1096.41     -6125.69      453.232
     1314.57      8557.43     -721.344
     8597.94      60777.1     -4946.62
    -528.361     -3551.98      360.716
     1843.75      11367.9     -445.751
     11089.8        72928     -2806.17
     -201.74     -1267.46      115.434
     413.375      2594.73     -145.019
     2472.13      20350.8     -1020.27
    -92.3662     -630.464      83.7644
     449.736      3196.76     -4.83747
      2925.6      26568.7     -102.015
     47.9032      369.423       41.409
     221.221      1265.92     -62.2963
     1142.62        11520     -401.359
    -38.9205     -202.014      67.0189
     2593.69      18472.6     -4429.87
     23428.5       169986     -40563.6
    -4630.13     -33436.2      8054.09
     9824.24      77628.3     -17696.9
     85289.4       679000      -154502
    -16895.9      -134243      30613.2
     9097.16      73548.2     -16497.7
     86696.3       706557      -158177
    -16551.5      -134623      30204.6
     11002.2      91256.3     -19918.2
     94268.1       788456      -171697
    -18716.8      -156155      34072.6
     7242.25      57807.8     -12854.1
     55617.2       449665     -99627.2
    -11451.8     -92204.7      20496.9
     13528.7       114384     -24487.9
      124632  1.06089e+06      -226703
    -23711.9      -201449      43114.9
     2656.49      22110.6     -4590.46
     20851.2       179649     -36940.1
    -4133.62     -35226.4      7309.94
     2076.31        17506     -3567.28
     17413.8       153485     -30894.4
       -3307     -28756.5      5854.47
     424.724      3368.88     -629.392
     3065.88      30595.5     -5351.71
    -558.001      -5160.1      966.652
     3270.41        26593     -5595.96
     23448.4       196122     -40942.3
    -4794.69     -39722.2      8359.32
     484.197      3893.13     -735.182
     3346.29      32831.1     -5858.01
    -631.856     -5791.68      1097.72
     541.085       4304.8     -819.341
     3461.09      32934.9     -5953.45
    -671.326     -5985.93      1146.72
     1331.85      10361.6     -2038.74
     10764.7      89831.8       -17305
     -1920.2     -15660.7      3082.27
     360.958      2599.38     -471.868
     2490.21      23690.9     -3940.39
    -428.228     -3690.13      677.272
     265.663      1538.15     -275.826
     1544.48      13358.2     -2059.68
    -254.513     -1858.86      349.226
     617.097      3989.25     -759.378
     4303.26      32588.8     -5861.15
    -719.457     -5123.86      985.921
     2856.02        22155     -4575.14
     24976.1       200126     -40927.1
    -4460.28     -35377.5      7301.23
     904.376      5965.25     -1183.57
     6955.93      51044.1      -9753.7
    -1151.86     -8125.23      1617.89
     2129.55      16131.1     -3392.89
     20628.5       161762     -33710.4
    -3501.33     -27208.2      5735.53
     9527.35      77782.7     -17150.1
     95734.8       787564      -173326
      -17598      -144505      31868.5
     1604.14      11505.6     -2680.33
     15779.4       116637     -26961.4
    -2905.53     -21323.8      5003.72
     850.656      5337.61     -1078.18
     6854.13      47068.3     -9232.89
    -1079.67     -7197.06       1476.5
     1239.36       7985.2     -1773.47
     11053.1      74094.2     -16264.8
    -1895.07     -12565.4      2832.37
     572.625      3029.97     -635.894
     4029.39      23308.5     -4732.56
    -625.731     -3499.44      783.557
     1740.41      12406.1     -2931.36
     16331.5       119693     -28077.3
    -3110.71     -22643.4      5386.44
      1676.3      16843.4     -2618.28
     12561.4       133123       -20392
    -2023.79     -21031.6      3284.12
     1252.54      12714.4     -1963.27
     10077.1       109822     -16633.4
    -1587.23     -16876.9      2618.44
     41774.7       491512     -65869.3
      363573  4.28649e+06      -574133
    -50095.3      -590181      79110.1
     21461.1       242651     -32942.6
      171013  1.94133e+06      -263266
    -24236.7      -274709      37314.8
     24257.9       288086     -37992.5
      225315  2.68523e+06      -353795
      -29806      -354786      46806.2
     760.715      9055.36     -1059.39
     6212.69      83080.2     -9409.93
    -759.613     -9691.66      1157.81
     670.148      8043.24     -926.566
     5789.39      79425.7        -8820
    -680.853     -8869.91      1044.98
     177.402       1838.7     -171.637
     1146.14      21675.9     -1674.31
    -117.862     -1652.28      185.999
     770.262      8976.07     -1057.44
     5891.24      77035.3     -8783.86
     -736.68        -9175      1106.16
     178.973       1872.9     -176.282
     1099.45      20769.9     -1623.68
    -118.005      -1645.1      186.901
     173.579      1755.45     -166.171
     982.064      18596.5     -1441.32
    -109.542     -1484.78      173.128
     515.006      5481.34     -609.092
     4246.35      53956.8     -5675.01
    -469.574     -5541.88      642.523
     162.783      1459.47     -133.578
     989.672      17646.6     -1265.01
    -97.2368     -1203.06      144.402
     153.818      1116.76     -99.4645
      833.99      12754.5     -816.427
    -77.1464     -739.805      105.151
     409.305      3669.96     -382.538
     3050.38      34357.7     -3284.48
    -306.783        -3089      354.405
     2689.29      28938.1     -3640.38
     24168.9       268511     -33456.9
    -2968.12     -32581.1      4120.21
     988.254      9138.87     -1068.89
     8093.38      81901.3     -9274.56
    -893.491     -8689.05      1043.91
     832.197      7799.67     -1134.98
     6944.61      72532.1     -10216.1
    -975.804     -9802.97       1442.4
     1232.24      12628.5      -1915.8
     10617.8       116893     -17391.1
    -1599.39     -17192.1      2619.84
     510.861      4022.03     -556.155
     3769.06      35698.6     -4618.83
    -487.273     -4267.99      613.168
     730.746      5131.45     -379.044
     4819.55      38256.7     -2606.72
    -280.767     -1987.55      193.063
      1526.7      10337.1     -899.947
     10160.2      72880.1     -6120.42
    -691.737     -4725.69      455.152
     8175.95      65451.5     -6318.14
     62682.3       507084     -48695.6
    -5112.23     -41083.3      4004.23
     952.346      5928.57     -615.808
     6116.15      41881.9     -4112.76
    -490.093     -3118.33      365.216
     2433.73      17676.5     -2004.61
     17808.2       134066     -14942.6
    -1685.61     -12422.7       1444.3
     785.735      4885.86     -695.819
     5207.36      36449.8     -4910.95
    -612.528     -4017.43      602.435
     475.509      2560.88      -345.78
     2800.18      19174.1     -2312.43
     -291.79     -1737.15      269.836
     895.567       6686.7     -833.807
     6550.43      54126.8     -6465.54
    -725.812     -5699.54      741.077
     500.742      3118.07      -487.05
     3236.69      24447.4     -3520.65
    -442.123     -3044.61      500.207
     2548.55      22047.1     -2303.01
     20411.3       182728     -18810.8
    -1914.21     -16829.3      1791.84
     811.969      7223.95     -649.484
     6344.54      62954.5     -5389.35
    -517.122     -4814.51      470.749
     1329.16      11283.4     -911.259
     10264.9      93011.6     -7259.88
    -703.802     -6092.02      533.748
     355.111      3037.99     -178.194
     2606.69      28791.9     -1436.56
    -127.448     -1105.42       112.37
     241.913      1997.66     -140.017
     1636.49        20252     -1144.24
    -106.053     -966.905      112.068
     294.981       2113.8     -110.279
     1878.98      18546.1     -744.901
    -74.3149     -475.708      75.8608
     1269.32      7366.26     -1123.87
     8495.16      54017.1     -7963.51
    -979.454     -5979.67      945.204
     48362.7       296973     -50030.8
      363423  2.23682e+06      -376548
    -45036.9      -276955      46697.2
     29745.6       182477     -31199.3
      217724   1.3398e+06      -228760
    -28467.3      -174908      29927.6
     8620.43      48540.7     -8961.92
     63513.9       361437     -66657.1
    -8212.07     -46674.8      8672.97
     7105.07      40288.9     -7392.81
     52196.8       298323     -54616.3
    -6857.86     -39097.5      7210.31
     2535.52      12852.8     -2535.39
     17178.2      88290.8     -17393.3
    -2355.76     -12092.3      2441.93
     1439.88      6646.06     -1328.04
     8626.77      41822.2     -8402.76
    -1216.77     -5940.54      1304.98
     2841.84      17277.6     -3234.25
     22177.3       138422     -25664.5
