        -nan         -nan         -nan
        -nan         -nan         -nan
        -nan         -nan         -nan
     478.462      2380.69     -479.737
    -216.208     -1100.56      218.067
    -712.827     -3594.23       728.17
     14829.1      87090.2     -14846.7
    -13807.3     -81128.9      13827.2
      -77160      -453325      77285.3
     31.1832      168.742     -23.7607
    -41.4963     -280.594      37.6307
    -295.723     -1951.32      283.718
     5.29526      5.38348    0.0813275
     -7.9319     -67.6307      5.66197
    -68.3947     -563.023      69.4244
    -5.61887     -73.4302      8.03648
    -9.19464     -67.9752      4.29602
    -111.108     -838.958      81.2181
    -53.9291      -340.55      26.7323
    -15.3353     -87.7823      4.25265
    -392.879      -2293.2      175.122
    -86.0171     -531.752      31.0477
    -3.06622     -14.5495     -1.25879
    -437.717     -2594.81      146.724
    -25.0035     -205.686      18.0284
    -7.08753     -47.5743      1.98748
    -147.054     -1059.02      86.7623
    -18.1544     -148.066      7.19678
    -3.48578     -17.4214     -1.09826
    -177.208     -1182.64      46.1475
    -9.84999     -115.449      6.97146
    -1.36519     -4.40154     -1.36274
     -45.742     -400.441      20.5546
     -5.7406      -93.914      1.86131
   -0.828056      4.49296     -1.52376
    -57.1361     -540.611      2.67141
     -6.5603     -106.974      4.81767
   -0.674604      4.73731     -1.60669
    -16.6008     -193.296      7.12721
     668.331      4816.36     -1147.71
    -191.496     -1402.67      331.825
    -446.793     -3253.99      778.796
    -4.86261     -75.6792      18.3233
    -336.009     -2681.87      608.078
    -1647.86     -13141.2      2991.86
     649.273      5256.46     -1175.97
    -419.622     -3430.29      765.534
    -1628.19     -13288.7      2976.38
    -412.606     -3490.57      760.635
    -193.011     -1618.09      350.786
    -1262.39     -10588.6      2306.52
    -634.352     -5168.43      1145.84
    -74.1306     -598.397      131.233
    -841.691     -6836.53      1515.61
     -159.04     -1386.99      296.745
    -362.931     -3096.13      659.771
    -1969.23     -16785.6      3587.53
    -171.181     -1514.24      311.954
    -11.6885     -98.1322      19.2809
    -149.985     -1323.79      272.688
    -86.5613     -796.286      160.723
    -24.0838     -212.972      41.6866
     -165.22      -1481.1      298.514
    -25.4545     -290.477      51.3387
    -1.33013     -7.49903     0.645883
    -15.1538     -180.128      31.7383
    -353.504     -2996.68      626.351
    0.459358      11.5331     -3.05949
    -206.889     -1763.58      368.866
     -39.065     -426.555      76.7983
    0.148997      11.3334     -2.39041
    -10.0959     -134.905      24.4369
    -63.0188     -643.321      117.184
     1.26567      27.6115     -5.13966
    -14.9413     -179.766       33.093
     -38.304     -349.432      67.6749
    -23.7515     -201.099      37.2681
    -147.306     -1250.37      241.169
    -15.6438     -181.515      30.6816
    -2.73938     -23.2054      2.91936
    -21.1265     -225.547      37.6865
    -6.71973     -89.3237      14.2647
    -2.57326     -22.2044      2.17357
    -18.0266     -178.892       27.715
    -8.60833      -94.375        17.29
    -12.3587     -98.2963      15.9212
    -74.7524     -585.943      105.617
    -15.9626     -158.199        32.56
    -89.6704     -726.746      146.503
    -497.589     -4006.54      819.852
     7.83566      27.3475     -5.06613
    -29.5658     -226.512      40.8881
    -163.282     -1217.19      232.994
     217.848      1678.88     -349.494
    -124.453     -990.557      203.529
    -521.898     -4105.46      856.615
     894.272      7325.79     -1611.71
    -532.334     -4392.06      963.955
    -2071.24     -17053.9       3754.4
      577.42      4240.03     -979.326
    -151.564     -1137.49      259.559
    -359.683     -2666.27      618.022
     94.4153      620.847     -121.413
    -46.6642     -334.539       62.507
    -188.975     -1309.78      257.929
      439.37      2919.59     -640.282
    -115.782     -793.495      170.665
    -266.979     -1796.11      395.778
     165.762       934.82     -189.122
    -44.9364     -274.711      51.9924
    -106.848     -624.448      128.293
     546.154      3973.59     -931.037
    -145.192     -1079.26      250.002
    -328.634      -2417.8      569.088
    -291.758     -3139.31      481.862
     20.6093      241.823     -36.9155
     -53.928     -612.001      94.3348
    -174.019     -1942.15      294.976
     10.8338      135.567     -20.6047
    -32.0391     -387.983      59.1043
    -8135.19     -95961.6        12854
     518.311      6135.48     -821.731
    -2034.27     -24025.6      3218.33
     -4689.6     -53287.2      7227.33
     334.639      3828.65     -518.989
     -1102.7     -12560.4      1703.92
    -4117.54     -49111.2      6471.43
     198.848      2389.27     -314.979
    -1419.02       -16945      2232.79
    -159.393      -2188.1      248.756
     6.78668      123.761     -13.9532
    -48.6885     -698.152      79.4833
    -126.931     -1785.95      199.124
      3.8828      81.3065     -9.15119
     -47.951     -695.756      77.5227
    -26.7262     -569.144      44.8028
     -1.0919      23.5822     -2.02731
    -10.9924      -259.45      20.3942
    -173.445     -2328.23      266.402
     7.98952      142.816     -16.0892
    -50.0407     -701.931       80.635
    -28.1439     -616.045      49.1027
     -1.3039      26.6568     -2.14783
    -9.51631     -245.331      19.6763
    -27.5929     -610.607      48.2517
     -1.4975      31.3061     -2.37339
    -8.81577     -231.976      18.6703
    -78.8935      -1041.2      110.277
     1.47229      40.0162     -4.55279
    -39.8301     -537.673      56.7578
    -19.6001     -399.927       29.514
    -1.03947       16.693     -1.58102
    -9.79705     -216.038      15.7917
    -13.5245     -251.925      16.9819
    -1.05907       9.8417     -1.19861
    -8.77497     -169.277      11.1149
    -47.2962     -568.988       55.148
    0.302462      18.9443     -2.39136
    -32.8981     -398.921      38.2847
    -368.124      -4125.5      514.729
     11.1848      138.429     -17.6768
    -197.226     -2220.02      276.731
    -103.475     -1081.39      123.142
     1.00923      20.0447      -2.9734
    -84.0753     -877.806      99.4767
    -75.4304     -822.666      116.494
   -0.126345      7.16163     -1.62148
     -51.546     -565.821      79.8231
    -143.579     -1618.92      241.515
     5.41635      72.3381     -11.1062
    -49.8975     -580.655      86.5775
    -33.7081     -352.124      46.1783
    -1.97849     -13.5551     0.857616
    -38.4019     -389.134      50.4499
    -54.5519     -465.526      32.6052
    0.819959       14.024     -2.32915
