        -nan         -nan         -nan
        -nan         -nan         -nan
        -nan         -nan         -nan
    0.999281    0.0377049   0.00387106
  -0.0378613     0.997755    0.0552376
 -0.00177964   -0.0553445     0.998466
    0.999509    0.0313277   0.00115529
   -0.031345     0.998115    0.0527635
 0.000499844   -0.0527738     0.998606
    0.999676    0.0253492  -0.00242244
  -0.0252162     0.998689    0.0445559
  0.00354872   -0.0444803     0.999004
    0.999912    0.0124031  -0.00465213
  -0.0122314     0.999303    0.0352702
  0.00508634   -0.0352102     0.999367
    0.999982   0.00383048   -0.0046718
 -0.00370163     0.999621    0.0272842
  0.00477454   -0.0272664     0.999617
    0.999982   0.00364877  -0.00466416
  -0.0035073     0.999544    0.0299872
  0.00477145   -0.0299703     0.999539
    0.999987  -0.00331695  -0.00393188
  0.00340846     0.999718     0.023501
  0.00385282   -0.0235141     0.999716
    0.999988   -0.0025018   -0.0043008
  0.00259415     0.999763     0.021603
  0.00424574   -0.0216139     0.999757
    0.999956  -0.00898076    -0.002709
  0.00902966     0.999786    0.0186123
  0.00254127   -0.0186359     0.999823
    0.999957  -0.00838954  -0.00382514
  0.00845486     0.999813    0.0173919
  0.00367852   -0.0174235     0.999841
    0.999896   -0.0143077  -0.00157501
   0.0143299     0.999783    0.0151077
  0.00135852   -0.0151287     0.999885
    0.999928    -0.011385  -0.00375917
   0.0114434     0.999808    0.0159161
  0.00357724    -0.015958     0.999866
    0.999551    0.0299572 -4.99191e-05
  -0.0299302     0.998719    0.0408042
  0.00127224   -0.0407844     0.999167
    0.999885    0.0150872  -0.00178818
   -0.015023     0.999385    0.0316746
  0.00226496   -0.0316441     0.999497
    0.999785    0.0206443  -0.00216983
  -0.0205575     0.999196     0.034413
  0.00287852    -0.034361     0.999405
    0.999975   0.00605919  -0.00373611
 -0.00596696     0.999689    0.0242225
  0.00388171   -0.0241996       0.9997
    0.999996 -0.000416655  -0.00288441
 0.000478523     0.999769    0.0214819
  0.00287479   -0.0214832     0.999765
    0.999916    0.0123246  -0.00411672
  -0.0122071     0.999549    0.0274448
  0.00445311   -0.0273923     0.999615
    0.999963  -0.00728839  -0.00447013
   0.0073532     0.999866    0.0146588
  0.00436269   -0.0146911     0.999883
    0.999986 -0.000690485  -0.00515073
 0.000781958     0.999842    0.0177783
  0.00513764    -0.017782     0.999829
    0.999925   -0.0109661  -0.00545622
   0.0110213     0.999887    0.0101789
  0.00534398   -0.0102382     0.999933
    0.999892   -0.0143236  -0.00317109
   0.0143601     0.999827    0.0117921
  0.00300164   -0.0118363     0.999925
    0.999832    -0.017767  -0.00456101
   0.0177992     0.999816   0.00712905
  0.00443351  -0.00720903     0.999964
    0.999699   -0.0243486  -0.00307181
   0.0243624     0.999693   0.00452895
  0.00296059  -0.00460242     0.999985
    0.999972   0.00519443  -0.00533867
 -0.00507818     0.999755    0.0215633
  0.00544937   -0.0215356     0.999753
     0.99997  -0.00504514  -0.00579411
  0.00512416     0.999893    0.0137051
  0.00572435   -0.0137344     0.999889
    0.999983  -9.5033e-05  -0.00586483
 0.000199594     0.999841    0.0178304
   0.0058622   -0.0178312     0.999824
    0.999937   0.00987788  -0.00540078
 -0.00973625     0.999624    0.0256493
   0.0056521   -0.0255951     0.999656
    0.999838    0.0174839  -0.00418699
  -0.0173463     0.999372      0.03091
  0.00472479   -0.0308324     0.999513
    0.999766    0.0212391   -0.0041122
  -0.0210847     0.999182    0.0345205
  0.00484202   -0.0344258     0.999396
    0.999556    0.0297056  -0.00226649
  -0.0295914     0.998763    0.0399568
  0.00345063    -0.039872     0.999199
    0.999667    0.0256865  -0.00235884
  -0.0255814     0.998983    0.0371202
  0.00330994   -0.0370475     0.999308
    0.999315    0.0370189 -4.21108e-05
  -0.0369789     0.998286    0.0453642
  0.00172137   -0.0453316     0.998971
    0.999469    0.0325177   -0.0018612
  -0.0324079     0.998552    0.0429331
  0.00325459     -0.04285     0.999076
    0.999194    0.0401295  0.000287549
  -0.0400986     0.998088    0.0470394
  0.00160067    -0.047013     0.998893
    0.999161     0.040938   0.00130015
  -0.0409523     0.997942    0.0493367
 0.000722272   -0.0493486     0.998781
    0.999427    0.0338433 -0.000211559
  -0.0338025     0.998491    0.0432765
  0.00167586   -0.0432446     0.999063
    0.999536     -0.03031  -0.00302334
   0.0303111      0.99954  0.000313401
  0.00301245 -0.000404896     0.999995
    0.999698    -0.024172  -0.00447957
   0.0241842     0.999704   0.00267729
  0.00441353  -0.00278481     0.999986
    0.999556   -0.0294422   -0.0045517
   0.0294441     0.999566  0.000355843
  0.00453924 -0.000489706      0.99999
    0.999388    -0.034843  -0.00320766
   0.0348377     0.999392   -0.0016903
   0.0032646   0.00157752     0.999993
    0.999709   -0.0235378  -0.00529653
   0.0235527     0.999719    0.0027691
  0.00522986  -0.00289304     0.999982
    0.999433   -0.0333113  -0.00481295
   0.0333121     0.999445  8.78969e-05
  0.00480735 -0.000248176     0.999988
    0.999595    -0.027927  -0.00542086
   0.0279388     0.999607    0.0021131
  0.00535972   -0.0022637     0.999983
    0.999496   -0.0312357  -0.00568531
   0.0312534     0.999507   0.00305133
   0.0055872  -0.00322748     0.999979
    0.999278   -0.0378256  -0.00357694
   0.0378199     0.999283  -0.00164475
  0.00363659   0.00150828     0.999992
    0.999336   -0.0360734  -0.00516798
    0.036081     0.999348   0.00139861
  0.00511416  -0.00158415     0.999986
    0.999215   -0.0394015   -0.0040603
   0.0394015     0.999223 -9.45057e-05
  0.00406087 -6.55503e-05     0.999992
    0.999729   -0.0226453  -0.00546439
   0.0226701     0.999733   0.00451266
  0.00536074  -0.00463531     0.999975
     0.99964   -0.0262357  -0.00554944
   0.0262633     0.999643   0.00494505
  0.00541772  -0.00508902     0.999972
    0.999748   -0.0218716  -0.00508861
   0.0219075     0.999735     0.007097
