        -nan         -nan         -nan
        -nan         -nan         -nan
        -nan         -nan         -nan
    0.739755     0.420031    -0.157114
  -0.0908158      0.21997     0.078406
  -0.0270235   0.00454422     0.522294
    0.731275    -0.214093 -0.000336064
  -0.0729164     0.436239     0.091614
 -0.00539127     0.297083     0.806815
    0.799446    -0.113352    0.0165564
  -0.0517493     0.549372    0.0665414
    0.181725      1.34201     0.691694
    0.964096      1.31172    -0.103747
  -0.0397762     0.356437    0.0553081
    0.372988      2.00244     0.502028
    0.769715     -0.28243     0.027256
  -0.0500219     0.370452    0.0454907
    0.128719     0.793642     0.646751
    0.426972      -2.7271     0.299221
   -0.048267     0.384743    0.0180735
   0.0128906      -1.3295     0.723148
    0.553884     -2.64992      0.15384
  -0.0587482     0.431781    0.0199419
   -0.100839     -1.39105     0.765247
    0.786938    -0.586387   -0.0061024
  -0.0513523     0.416176     0.036943
  -0.0793858    -0.157397     0.798461
    0.792717     -1.61603   -0.0339456
  -0.0597442      0.41925    0.0184981
   -0.304128     -1.90408     0.864639
    0.922132    0.0481294    -0.101084
  -0.0324119     0.561784    0.0190616
   -0.368774     -1.96523      1.00895
     1.09122     0.138196    -0.173107
  -0.0342608     0.494565   0.00502837
   -0.556017      -2.9048     0.991181
    0.905348    -0.178752   -0.0555139
  -0.0117169     0.761326   0.00952205
   -0.098504    -0.177396     0.811299
     2.32832      9.08387     -2.02799
   -0.155081     -0.12347     0.226675
    0.585089      3.94773   -0.0469831
     1.79266      6.48543     -1.39612
  -0.0298285     0.719091    0.0504811
     0.79962       6.1235    -0.423704
     1.78925      6.37555     -1.35731
  -0.0697431     0.438087     0.105669
     0.62069      4.82771    -0.141833
     1.39682      4.07079     -0.80631
  -0.0102618      0.80421     0.026128
    0.629962      5.09133    -0.126819
     1.32493      3.50784    -0.730864
  0.00782874     0.956269  -0.00628215
    0.669281      5.42796     -0.23943
     1.37389       3.7421    -0.734451
  -0.0387911     0.600641    0.0607506
    0.462303      3.73608     0.137074
     1.20053      2.63888    -0.497097
-0.000925435     0.834449    0.0126116
    0.502383      4.18292    0.0797099
     1.19039      2.46302    -0.461529
 -0.00853483     0.794019    0.0186852
    0.420629      3.50048     0.209946
     1.14988      1.94234    -0.356335
   0.0145867      0.98663   -0.0140434
    0.374031      3.21713     0.294711
     1.12807      2.01703    -0.416996
  0.00292485      0.88162  0.000129056
    0.488606      4.11359    0.0430287
     1.13454      1.86023    -0.359157
   0.0112607     0.949964   -0.0102365
    0.396197      3.47492     0.228301
     1.08449      1.39249    -0.295146
   0.0145382     0.982458   -0.0174892
    0.393825      3.44174     0.210717
     1.14342      1.88582    -0.357249
  -0.0184914     0.740605    0.0261319
    0.302767       2.4316     0.400149
     1.11955      1.52245    -0.277132
   0.0183281       1.0404   -0.0201824
    0.315538      2.56238     0.417591
     1.08523     0.927028    -0.178676
   0.0378681      1.23939   -0.0456854
     0.24837      1.75276     0.554922
     1.08604      1.12702    -0.202365
 -0.00163686     0.887225   0.00353273
    0.217862      1.41053     0.599361
      1.2683      2.70223     -0.51701
  -0.0512667     0.525664    0.0705794
    0.314729      2.38783     0.400288
     1.11874      1.19329    -0.221648
  -0.0358306     0.690139    0.0430719
    0.131448     0.760436     0.727981
     1.38875      2.91049    -0.603568
   -0.100789     0.291095     0.126155
    0.217286      1.53121     0.552418
     1.62303      4.95668     -1.02623
  -0.0906484      0.29843     0.129437
     0.43054      3.24156       0.2057
     1.63803      3.77332    -0.867089
   -0.171921   -0.0869246     0.216403
    0.109882     0.645204     0.697629
     1.13381     0.674035    -0.135972
   -0.085675     0.473465    0.0940006
  -0.0324808    -0.461138     0.991471
     1.30395      1.13165     -0.27164
    -0.15918    0.0856722      0.17524
  -0.0783614    -0.831361      1.03212
    0.845443     -1.96835     0.360844
   -0.110432     0.508346    0.0891246
   -0.410147     -2.96212      1.48106
     2.00868      6.70088     -1.47939
   -0.166453    -0.151161     0.237219
    0.357437      2.37722     0.347909
     1.01749     0.406392    -0.105902
  -0.0194887     0.693967    0.0355262
    0.284221      2.59837     0.465249
     1.03449     0.510755    -0.162758
  -0.0230372     0.709583    0.0285843
    0.253184      2.53811     0.425425
    0.999412     -0.17454    -0.102287
  -0.0404631     0.536847    0.0447007
    0.105441      1.50035     0.589642
    0.983647    -0.354013   -0.0803183
  -0.0395821     0.534763    0.0445993
    0.101917      1.45543     0.587218
     1.00678   -0.0884343    -0.113094
  -0.0400804     0.558748    0.0412256
     0.10182      1.42941      0.59956
    0.991405    -0.454475   -0.0875749
  -0.0386709     0.472827    0.0415799
   0.0279029     0.884516     0.680895
     0.99526    -0.385694   -0.0917257
  -0.0385839      0.49791    0.0388686
   0.0339756      0.89437     0.683194
     1.00064    -0.385738   -0.0967923
   -0.023336     0.591134    0.0241479
   0.0145915     0.832879     0.710929
    0.982211    -0.557542   -0.0663911
  -0.0350393     0.488622    0.0399353
   0.0386776     0.898994     0.681581
    0.996921    -0.483658   -0.0896822
  -0.0224904     0.574878    0.0251098
   0.0118153     0.812481      0.71071
    0.989637    -0.642923   -0.0745617
  -0.0203635     0.601892    0.0233801
   0.0148989     0.827977     0.710018
    0.993684    -0.427884    -0.080879
  -0.0356592     0.565306    0.0321665
   0.0353851     0.757025     0.702621
     1.00179     -0.39123   -0.0920779
  -0.0216245     0.659676    0.0199527
   0.0185288      0.76543     0.720929
     1.00697    -0.496318   -0.0792852
  -0.0168517     0.781266    0.0132267
   0.0275369     0.644825     0.735187
    0.992977     -0.63664   -0.0537684
  -0.0324575     0.650513    0.0246911
   0.0438663     0.562225     0.729277
     1.00387    -0.165382   -0.0867435
  -0.0376874     0.593124    0.0365189
    0.108437      1.24267     0.638126
    0.987336    -0.627508   -0.0456543
  -0.0358336     0.688665    0.0268735
   0.0747063     0.783095     0.693432
