        -nan         -nan         -nan
        -nan         -nan         -nan
        -nan         -nan         -nan
           0      1298.45      116.545
    -1298.45            0      1906.15
    -116.545     -1906.15            0
           0      50448.8      31156.6
    -50448.8            0       233576
    -31156.6      -233576            0
           0      105.119      135.981
    -105.119            0      994.474
    -135.981     -994.474            0
           0      6.65769       34.238
    -6.65769            0      284.342
     -34.238     -284.342            0
           0     -32.1178      59.5723
     32.1178            0      421.627
    -59.5723     -421.627            0
           0     -162.608      209.806
     162.608            0      1148.72
    -209.806     -1148.72            0
           0     -264.343      234.382
     264.343            0      1296.77
    -234.382     -1296.77            0
           0     -99.2994      82.5411
     99.2994            0      530.502
    -82.5411     -530.502            0
           0     -72.2902      92.2022
     72.2902            0      590.772
    -92.2022     -590.772            0
           0     -57.0419      26.3567
     57.0419            0      199.539
    -26.3567     -199.539            0
           0      -46.543      29.4987
      46.543            0      269.544
    -29.4987     -269.544            0
           0     -53.1499      10.7092
     53.1499            0      95.8449
    -10.7092     -95.8449            0
           0      2503.93     -350.459
    -2503.93            0      1792.91
     350.459     -1792.91            0
           0      130.165      833.093
    -130.165            0      6874.65
    -833.093     -6874.65            0
           0      2838.04      226.111
    -2838.04            0      7027.12
    -226.111     -7027.12            0
           0     -1648.78      1011.51
     1648.78            0      5469.69
    -1011.51     -5469.69            0
           0     -2547.15      993.764
     2547.15            0      3483.88
    -993.764     -3483.88            0
           0     -512.027      1132.99
     512.027            0      8722.67
    -1132.99     -8722.67            0
           0     -751.276      230.969
     751.276            0      671.537
    -230.969     -671.537            0
           0     -386.101      162.972
     386.101            0      761.395
    -162.972     -761.395            0
           0     -144.573      33.2462
     144.573            0      90.3868
    -33.2462     -90.3868            0
           0     -1498.57       416.62
     1498.57            0       880.26
     -416.62      -880.26            0
           0     -213.352      43.4471
     213.352            0      66.2575
    -43.4471     -66.2575            0
           0     -322.293      66.0626
     322.293            0      87.3134
    -66.0626     -87.3134            0
           0      -162.84       107.49
      162.84            0      643.821
     -107.49     -643.821            0
           0     -89.3878      25.9041
     89.3878            0      114.233
    -25.9041     -114.233            0
           0     -43.3752      16.1456
     43.3752            0      90.5326
    -16.1456     -90.5326            0
           0     -41.0081      46.0212
     41.0081            0      300.932
    -46.0212     -300.932            0
           0     -34.2642      265.074
     34.2642            0      2076.52
    -265.074     -2076.52            0
           0      28.4566      79.1077
    -28.4566            0      629.038
    -79.1077     -629.038            0
           0      901.669      86.2017
    -901.669            0      2154.49
    -86.2017     -2154.49            0
           0      3929.06      229.766
    -3929.06            0      9008.93
    -229.766     -9008.93            0
           0      2195.79     -309.822
    -2195.79            0      1462.91
     309.822     -1462.91            0
           0      333.755       33.781
    -333.755            0      686.143
     -33.781     -686.143            0
           0      1517.68     -186.651
    -1517.68            0      983.388
     186.651     -983.388            0
           0      489.878      -41.137
    -489.878            0       338.22
      41.137      -338.22            0
           0      2059.39     -301.201
    -2059.39            0       1333.9
     301.201      -1333.9            0
           0     -1579.96      267.895
     1579.96            0      287.543
    -267.895     -287.543            0
           0      -976.49      163.508
      976.49            0      183.689
    -163.508     -183.689            0
           0       -48240      7444.14
       48240            0      11601.9
    -7444.14     -11601.9            0
           0     -26810.9      4165.01
     26810.9            0      6020.71
    -4165.01     -6020.71            0
           0       -24655      3945.23
       24655            0         8315
    -3945.23        -8315            0
           0     -1097.44      148.722
     1097.44            0        342.1
    -148.722       -342.1            0
           0     -894.917      123.537
     894.917            0      343.302
    -123.537     -343.302            0
           0     -284.026      27.8976
     284.026            0      128.712
    -27.8976     -128.712            0
           0     -1168.11      158.222
     1168.11            0      342.921
    -158.222     -342.921            0
           0     -307.371      29.3095
     307.371            0      121.592
    -29.3095     -121.592            0
           0     -304.555      28.5337
     304.555            0      114.802
    -28.5337     -114.802            0
           0     -521.334      75.0537
     521.334            0       266.56
    -75.0537      -266.56            0
           0     -199.444      19.6555
     199.444            0      107.228
    -19.6555     -107.228            0
           0     -125.433      12.8784
     125.433            0      84.0392
    -12.8784     -84.0392            0
           0     -284.645       44.023
     284.645            0      198.265
     -44.023     -198.265            0
           0     -2068.34      355.977
     2068.34            0      1101.17
    -355.977     -1101.17            0
           0     -541.198      103.609
     541.198            0      437.417
    -103.609     -437.417            0
           0      -411.27      84.0202
      411.27            0        282.1
    -84.0202       -282.1            0
           0     -812.166      145.706
     812.166            0      284.774
    -145.706     -284.774            0
           0     -175.073      42.2901
     175.073            0      194.996
    -42.2901     -194.996            0
           0     -233.173       61.299
     233.173            0      368.103
     -61.299     -368.103            0
           0      -329.16      129.865
      329.16            0       740.63
    -129.865      -740.63            0
           0      -2674.7      781.637
      2674.7            0      4253.43
    -781.637     -4253.43            0
           0     -106.325      77.7623
     106.325            0      468.445
    -77.7623     -468.445            0
           0     -453.265      212.216
     453.265            0      1225.34
    -212.216     -1225.34            0
           0     -53.3043      61.5526
     53.3043            0      388.911
    -61.5526     -388.911            0
           0     -17.0095      37.3659
     17.0095            0      250.744
    -37.3659     -250.744            0
           0     -224.017      72.9502
     224.017            0      389.884
    -72.9502     -389.884            0
           0     -58.9141      35.5798
     58.9141            0      212.848
    -35.5798     -212.848            0
           0     -1075.58      248.005
     1075.58            0      1237.44
    -248.005     -1237.44            0
           0     -460.013      82.0177
     460.013            0      431.634
    -82.0177     -431.634            0
           0     -626.417       131.59
     626.417            0      757.624
     -131.59     -757.624            0
           0     -227.379      31.7866
     227.379            0      234.209
    -31.7866     -234.209            0
           0     -173.645      20.8366
     173.645            0      145.189
    -20.8366     -145.189            0
           0      -136.12      21.9373
      136.12            0      170.688
    -21.9373     -170.688            0
           0      42.2913      115.533
    -42.2913            0       782.59
    -115.533      -782.59            0
           0      7385.46      3995.85
    -7385.46            0      32252.5
    -3995.85     -32252.5            0
           0      2034.87      3156.51
