        -nan         -nan         -nan
    0.769919  -0.00616704       6.4334
    0.759419  -0.00162841      6.44993
    0.748924   0.00251659       6.4665
    0.738408   0.00711252      6.48298
    0.725375    0.0100104      6.49863
    0.747998   0.00644432      6.51302
    0.735033   0.00935097      6.52851
    0.712416    0.0129747      6.51423
    0.722141    0.0123704      6.54407
    0.699502    0.0160793       6.5298
    0.709163    0.0155406      6.55958
    0.686382    0.0194158      6.54526
    0.575113  -0.00505311      6.30376
    0.565494 -0.000751655      6.32017
    0.591377 -0.000542926      6.33442
    0.581734   0.00399459      6.35078
    0.555875   0.00393219      6.33655
    0.607243   0.00408062      6.36485
    0.572014   0.00884337       6.3671
     0.59759   0.00881689      6.38117
    0.587868    0.0137221      6.39747
    0.546214   0.00890329      6.35288
    0.562277    0.0138686      6.38337
    0.536577    0.0140783       6.3692
     0.62297   0.00866457      6.39517
    0.613266    0.0134845      6.41144
    0.638666    0.0133224      6.42542
    0.648654   0.00850136      6.40899
    0.632979   0.00394694      6.37869
    0.658743   0.00392631      6.39252
    0.643033 -0.000478213      6.36224
     0.61725 -0.000469305      6.34834
     0.62726  -0.00470392      6.33181
     0.66874 -0.000504239      6.37603
    0.653098  -0.00464205       6.3457
    0.678842  -0.00455145      6.35948
    0.601356  -0.00482042      6.31788
    0.524853     0.017181       6.3853
    0.549928     0.017093      6.39925
    0.538252    0.0202093      6.41541
    0.513118    0.0204303      6.40143
    0.563165    0.0200176      6.42925
    0.526519     0.023356      6.43151
    0.551455    0.0230769      6.44541
    0.539739    0.0261925      6.46148
    0.501397    0.0237131       6.4175
    0.514752    0.0265707      6.44757
    0.489421    0.0269703      6.43355
     0.57627     0.022839      6.45916
    0.564525    0.0258651      6.47527
    0.589275    0.0255026      6.48908
    0.601563    0.0223694      6.47318
    0.588614    0.0196396      6.44328
    0.613941    0.0192662      6.45726
    0.600931     0.016513      6.42737
    0.575503    0.0168202      6.41336
    0.626262     0.016254      6.44136
    0.674572    0.0180085      6.51534
    0.687587    0.0147194      6.49983
    0.662655    0.0165675      6.48538
     0.70053    0.0116415      6.48424
    0.675651    0.0132647      6.46982
    0.688671    0.0101627      6.45421
    0.713577   0.00869403       6.4686
    0.650725    0.0149422      6.45544
    0.663659    0.0117024       6.4398
     0.63841    0.0178868      6.47137
    0.626083    0.0208865      6.48726
    0.650367    0.0194674      6.50134
    0.637998    0.0224102      6.51722
    0.613603    0.0239594      6.50313
    0.662149    0.0209307      6.53126
     0.72373     0.004163      6.45217
    0.734212 -0.000287814      6.43562
    0.708958   0.00132344      6.42129
    0.744599  -0.00465578      6.41909
    0.719324   -0.0030464      6.40474
    0.729734  -0.00733731       6.3882
    0.755061  -0.00924842       6.4026
    0.693911  -0.00180683      6.39044
    0.704211  -0.00602046      6.37391
    0.683821   0.00243427      6.40697
    0.673778   0.00700005      6.42339
    0.698701   0.00560634      6.43774
    0.475002    0.0276779      6.44935
    0.499647    0.0275831      6.46288
    0.485297    0.0281863      6.47873
    0.460629    0.0283273      6.46524
    0.509551    0.0280515      6.49209
    0.470914    0.0287554      6.49464
    0.495202    0.0285622      6.50794
    0.480902    0.0290374      6.52383
     0.44616    0.0289629      6.48111
    0.456508    0.0293339       6.5105
    0.431702    0.0296231      6.49697
    0.519307    0.0283758      6.52122
    0.504999     0.028835       6.5371
    0.528843     0.028667      6.55027
    0.544076    0.0278453      6.53504
    0.534399    0.0275387      6.50592
    0.559152     0.027082      6.51971
     0.54946    0.0267033      6.49059
    0.524648    0.0271266      6.47677
    0.574126    0.0263007      6.50438
    0.415336    0.0269703      6.51312
    0.438516     0.026991      6.52589
    0.422034    0.0242919      6.54196
    0.398993    0.0242784      6.52932
    0.445187    0.0243637      6.55472
    0.405538    0.0215503      6.55802
    0.428882    0.0215657      6.57081
    0.412387    0.0187317      6.58682
    0.382657    0.0215638      6.54544
    0.389225       0.0187      6.57406
    0.366354    0.0187705      6.56147
    0.451599    0.0216333      6.58337
     0.43529    0.0188584      6.59947
    0.457711    0.0190192      6.61192
    0.475551    0.0214112      6.59657
      0.4694    0.0240935        6.568
    0.493352    0.0238206       6.5812
    0.487209    0.0264843      6.55257
    0.463028    0.0267443      6.53926
    0.511106    0.0262774      6.56575
    0.543858    0.0169985      6.66223
    0.563287    0.0187579      6.64761
    0.540209    0.0198412      6.63424
    0.559686    0.0216121      6.61966
     0.58272    0.0204972      6.63298
    0.536564    0.0227374      6.60632
    0.579075    0.0234277      6.60497
    0.555964    0.0245465      6.59167
    0.575359    0.0263978      6.57699
    0.602195    0.0223709      6.61832
    0.598526    0.0252926      6.59033
    0.621583    0.0242657      6.60364
    0.532765    0.0256842      6.57836
    0.552175    0.0274965      6.56367
    0.514987    0.0232889      6.59377
    0.497205    0.0208393      6.60917
    0.518788    0.0203157      6.62169
    0.500997    0.0179231      6.63709
    0.479426    0.0184504      6.62452
    0.522416    0.0174693      6.64962
    0.637744    0.0230137      6.58905
    0.613691    0.0246096      6.57506
    0.629753    0.0233508      6.56042
    0.653953    0.0218012      6.57449
     0.60564    0.0249578      6.54643
    0.646035    0.0221246      6.54588
    0.621766    0.0236605      6.53177
    0.670203    0.0205998      6.55993
     0.59753    0.0252622      6.51777
    0.582422    0.0260028      6.53309
    0.567267    0.0267622      6.54837
    0.590557    0.0256708      6.56175
    0.691014    0.0178961      6.57318
    0.674798     0.019097      6.58776
    0.695688    0.0164761      6.60107
    0.658644    0.0203579      6.60241
    0.679469    0.0176682      6.61567
    0.663276    0.0189064      6.63024
    0.642485     0.021545      6.61698
       0.684    0.0163024      6.64352
    0.620905    0.0208155      6.63072
     0.60149    0.0189196      6.64537
     0.62024      0.01742      6.65777
     0.58202    0.0170731      6.65996
    0.600642    0.0155715      6.67234
    0.581163     0.013831      6.68694
    0.562584     0.015443      6.67461
    0.619288    0.0141835      6.68472
    0.599698    0.0123951      6.69925
    0.618316    0.0110961      6.71169
    0.639953     0.011515      6.69795
    0.640893    0.0147201        6.671
    0.661553    0.0121464      6.68425
    0.662509    0.0154217      6.65729
    0.641748    0.0180892      6.64401
    0.655648   0.00929107      6.71001
    0.634015   0.00888746      6.72374
    0.458818    -0.925605      6.84396
    0.441269     -0.91351      6.83171
    0.454003    -0.922272      6.81275
    0.436391      -0.9101      6.80037
    0.423624    -0.901297      6.81934
    0.449169    -0.918839      6.78143
    0.418687    -0.897847      6.78793
    0.431525    -0.906634      6.76895
    0.413643    -0.894404      6.75637
     0.40588    -0.889012      6.80686
    0.400924    -0.885559      6.77532
    0.387994    -0.876689      6.79428
    0.444159     -0.91534      6.74995
    0.426339    -0.903157      6.73738
    0.438986    -0.911835      6.71838
    0.457088    -0.922765      6.73099
     0.46216    -0.926283      6.76247
    0.475067    -0.933673      6.74353
    0.479989    -0.937164      6.77482
    0.467075    -0.929768       6.7938
    0.484875    -0.940595        6.806
    0.492957    -0.944511      6.75589
    0.497788    -0.947919      6.78701
     0.51066    -0.955254      6.76804
    0.471828    -0.933138      6.82495
    0.370844    -0.864589      6.78246
    0.383646    -0.874843       6.7634
    0.366303    -0.862824      6.75144
     0.35356    -0.852528      6.77046
    0.378957    -0.873047      6.73236
    0.348763    -0.850818      6.73945
    0.361471    -0.861084      6.72036
    0.343837    -0.849131      6.70825
    0.335989    -0.840538      6.75846
     0.33112    -0.838902       6.7273
    0.318306    -0.828545      6.74635
    0.374156    -0.871235      6.70124
    0.356513    -0.859305      6.68912
    0.369145    -0.869401      6.66993
    0.386846    -0.880028      6.68219
    0.391722    -0.881853      6.71339
    0.404388    -0.890615      6.69441
    0.409145     -0.89251      6.72544
    0.396382    -0.883716      6.74444
    0.421794    -0.901238      6.70643
     0.41596    -0.898526      6.58877
    0.433192    -0.908063      6.60155
    0.421903    -0.902065      6.62149
    0.439113    -0.911408       6.6341
    0.450328    -0.917501      6.61416
    0.427783    -0.905357      6.65393
    0.456109    -0.920782      6.64655
    0.444829    -0.914679      6.66646
     0.46175    -0.924013      6.67881
    0.467404    -0.926815      6.62666
    0.473011    -0.930069      6.65893
    0.484294    -0.936072      6.63905
    0.433528    -0.908598      6.68628
    0.450384    -0.917921      6.69865
    0.416151    -0.898028      6.67418
    0.398607    -0.887432      6.66196
    0.410277    -0.894773      6.64176
    0.392621    -0.884087      6.62944
     0.38091    -0.876768       6.6497
    0.404292     -0.89134      6.60913
     0.50206    -0.945807        6.652
    0.491086    -0.940919      6.67165
    0.508801     -0.95052      6.68439
    0.519667    -0.955466      6.66477
    0.497851    -0.945594      6.70392
    0.526407    -0.960033      6.69703
    0.515402     -0.95519      6.71661
    0.532832    -0.964746      6.72916
     0.53737    -0.964895       6.6775
    0.543831    -0.969471      6.70961
    0.554844    -0.974285      6.69008
    0.504307    -0.950438      6.73612
    0.521716    -0.959949      6.74862
    0.486487     -0.93968      6.72375
    0.468529    -0.928845      6.71126
    0.479816    -0.934869      6.69146
    0.300787    -0.821338      6.73556
    0.313107    -0.832546      6.71616
    0.295628    -0.825205      6.70524
    0.283318    -0.814028      6.72467
    0.307891    -0.836272      6.68583
    0.278122    -0.817831      6.69441
    0.290401    -0.828886      6.67491
    0.272896    -0.821477      6.66398
    0.265852    -0.806724      6.71375
    0.260657    -0.810458      6.68345
    0.248332    -0.799347      6.70285
    0.302661    -0.839798      6.65541
    0.285193    -0.832237      6.64441
    0.297368    -0.843064      6.62487
    0.315344    -0.849681       6.6362
    0.320608    -0.846391      6.66664
    0.333267    -0.856392      6.64746
    0.338578    -0.852874      6.67788
    0.325849    -0.842745      6.69704
    0.351196    -0.862935      6.65874
     0.23158    -0.795479      6.69338
    0.243325    -0.807154       6.6735
    0.226634    -0.803245      6.66397
    0.214929     -0.79153      6.68386
    0.238434    -0.814646      6.64397
    0.209934    -0.799244      6.65441
     0.22164    -0.810688       6.6344
    0.204961    -0.806615       6.6248
    0.198204    -0.787584       6.6743
    0.193224     -0.79527      6.64489
    0.181457     -0.78368      6.66482
    0.233379    -0.821951      6.61441
    0.216718    -0.817817      6.60477
    0.228432    -0.828681      6.58464
    0.245582    -0.832396      6.59482
    0.250641    -0.825415      6.62446
    0.262873    -0.835917      6.60488
    0.267895    -0.828845      6.63442
    0.255644    -0.818077      6.65402
    0.280123    -0.839528       6.6149
    0.275026    -0.861258      6.49951
    0.292257    -0.864955      6.51016
    0.280695    -0.856793      6.53092
    0.298021    -0.860139      6.54148
    0.309623     -0.86818      6.52069
    0.286329    -0.852283      6.56233
    0.315338    -0.863492      6.55199
    0.303624    -0.855652      6.57288
    0.320983    -0.858808      6.58329
    0.326932    -0.871477      6.53115
    0.332662    -0.866702      6.56249
    0.344244     -0.87479      6.54168
    0.291831     -0.84783      6.59372
    0.309216    -0.850937      6.60407
     0.27467    -0.844022      6.58356
    0.257388    -0.840388      6.57348
    0.269037    -0.848586      6.55222
    0.251933    -0.844574      6.54192
    0.240172    -0.836634       6.5633
    0.263546    -0.852652      6.52063
    0.362217    -0.880821       6.5535
    0.350633    -0.873551      6.57388
    0.368544    -0.879515       6.5856
    0.380129    -0.886762      6.56524
    0.356846    -0.872342        6.606
    0.386442    -0.885496      6.59737
     0.37474    -0.878305      6.61771
    0.398064    -0.892723      6.57701
    0.362998    -0.870987      6.63801
    0.345117    -0.864384      6.62676
    0.327166    -0.857677      6.61545
    0.338924    -0.865652      6.59469
    0.334672    -0.761793      6.96977
    0.320038    -0.751896      6.95747
    0.333662    -0.774822      6.94321
    0.319023    -0.764939      6.93085
    0.305362    -0.741969      6.94514
    0.332641    -0.787762      6.91657
    0.304295     -0.75495      6.91849
    0.317986    -0.777814      6.90424
    0.303093    -0.767939      6.89178
    0.290516    -0.732027      6.93263
    0.289291    -0.745059      6.90596
    0.275555    -0.722047      6.92009
    0.331644    -0.800608      6.88991
    0.316844    -0.790773      6.87749
    0.330607    -0.813559      6.86298
      0.3471    -0.825356      6.87571
    0.348095    -0.812481      6.90249
    0.363476    -0.837119      6.88831
    0.364319    -0.824317      6.91493
    0.349013    -0.799639      6.92915
    0.365239    -0.811389      6.94158
    0.379787    -0.848894      6.90068
    0.380602    -0.836039      6.92731
    0.396003    -0.860556      6.91298
        0.35    -0.786684      6.95574
    0.260315    -0.711623      6.90854
    0.272789       -0.733      6.89414
    0.257441     -0.72265      6.88255
    0.245004    -0.701189        6.897
     0.26996    -0.744047      6.86804
    0.242005    -0.712284      6.87101
    0.254498    -0.733689      6.85651
    0.239057     -0.72344      6.84489
    0.229587    -0.690832      6.88538
    0.226555    -0.701979      6.85935
    0.214155    -0.680454       6.8737
    0.267048    -0.755078      6.84188
    0.251529    -0.744881      6.83027
    0.264119    -0.766215      6.81558
    0.280916    -0.777989      6.82754
     0.28378    -0.766963      6.85382
    0.297677     -0.78979       6.8394
    0.300414    -0.778846      6.86565
     0.28658    -0.755997      6.87994
    0.314212    -0.801678      6.85125
    0.321589    -0.824788      6.77565
    0.339161    -0.836837      6.78767
    0.324734     -0.82101      6.80486
    0.356541    -0.848904      6.79968
    0.342173    -0.833128      6.81687
    0.359344    -0.845285      6.82879
    0.373736    -0.861013      6.81157
    0.327725    -0.817258      6.83401
    0.344995    -0.829471      6.84591
    0.311166    -0.805402      6.82219
    0.294501    -0.793655      6.81035
    0.308043    -0.809244      6.79305
    0.291226    -0.797565      6.78116
    0.277684    -0.781915      6.79842
      0.3048    -0.813097      6.76381
    0.390126    -0.872688      6.82417
    0.407904    -0.885021       6.8367
     0.39213    -0.868671      6.85394
    0.425567    -0.897295      6.84908
     0.40979    -0.880992      6.86631
    0.427401    -0.893255      6.87858
    0.443087    -0.909465      6.86127
    0.394117    -0.864604      6.88357
    0.411702    -0.876934      6.89585
    0.377835    -0.852927      6.87119
    0.361478    -0.841201      6.85863
    0.375732    -0.856991       6.8414
    0.198957    -0.673585       6.8633
    0.210123    -0.694449      6.84868
    0.194946    -0.687527      6.83838
    0.183793      -0.6666      6.85291
    0.206079    -0.708486      6.82366
    0.179706     -0.68063      6.82799
    0.190888    -0.701595       6.8133
    0.175694    -0.694629      6.80301
    0.168667    -0.659621      6.84258
    0.164524    -0.673708      6.81763
    0.153508    -0.652602      6.83221
    0.202148    -0.722521      6.79855
     0.18694    -0.715628      6.78823
    0.198208    -0.736462      6.77331
     0.21468    -0.743847      6.78396
    0.218588    -0.729982      6.80914
    0.231156    -0.751357      6.79449
    0.235052    -0.737405      6.81968
    0.222562    -0.715997      6.83426
    0.247648    -0.758769      6.80504
    0.138749     -0.64832      6.82307
    0.148765    -0.669525      6.80839
    0.133968    -0.665225      6.79934
    0.124023    -0.644028      6.81399
    0.144035    -0.686335      6.78459
    0.119208    -0.660898      6.79024
     0.12935    -0.682011      6.77556
    0.114595    -0.677632      6.76657
    0.109228    -0.639621      6.80488
    0.104544    -0.656433      6.78127
   0.0945419    -0.635347      6.79583
    0.139534    -0.702958      6.76067
    0.124764    -0.698572      6.75166
    0.135025    -0.719486      6.73662
    0.150804    -0.723778      6.74582
    0.155337    -0.707206      6.76986
    0.166581    -0.728065      6.75497
     0.17108    -0.711431      6.77906
    0.159866    -0.690511       6.7938
    0.182394    -0.732296      6.76421
    0.185633    -0.772217      6.69212
    0.202387    -0.776094      6.70155
    0.189847    -0.760494      6.71926
    0.219035    -0.780005      6.71108
     0.20656    -0.764363      6.72875
    0.223281    -0.768133      6.73829
    0.235818    -0.783846       6.7206
    0.194041    -0.748571      6.74635
    0.210728    -0.752363      6.75584
    0.178186    -0.744335      6.73717
    0.162345    -0.740086      6.72802
    0.173979    -0.756206      6.71008
    0.158173    -0.751873      6.70093
    0.146627    -0.735745      6.71883
    0.169873    -0.767819      6.68289
    0.252294    -0.791287       6.7312
    0.269793    -0.798625      6.74207
    0.256259    -0.783006      6.75943
    0.287299    -0.805877      6.75294
    0.273736    -0.790284      6.77029
    0.260171    -0.774618      6.78753
    0.243712    -0.767244      6.77697
    0.227208    -0.759817      6.76643
    0.239764    -0.775621      6.74881
    0.348781    0.0120442      6.57833
    0.368738     0.012255      6.59027
    0.351055   0.00551978      6.60704
    0.331176   0.00517937      6.59512
    0.371126   0.00581831      6.61902
      0.3334  -0.00127646      6.62376
    0.353355 -0.000919981      6.63572
    0.335581  -0.00771286      6.65239
    0.313583  -0.00175093      6.61184
    0.315772  -0.00819977      6.64044
    0.296012  -0.00877071      6.62852
    0.373614 -0.000515467      6.64786
    0.355703  -0.00721199      6.66446
    0.375877  -0.00664538      6.67656
     0.39641 -0.000192588      6.66051
    0.394343   0.00590355      6.63182
    0.416857   0.00620621      6.64436
     0.41481    0.0123892      6.61567
    0.391759    0.0122457      6.60294
    0.437337     0.012617      6.62817
    0.278419   -0.0204643      6.64521
    0.295334   -0.0199044      6.65668
    0.277694   -0.0314166      6.67334
    0.260769   -0.0319953      6.66191
    0.294606    -0.030778      6.68475
    0.259972   -0.0427342      6.69001
    0.276833   -0.0420255      6.70138
    0.259014   -0.0531784      6.71809
    0.243061   -0.0433954      6.67862
    0.242157    -0.053921      6.70673
    0.225292   -0.0546604      6.69531
    0.293714   -0.0413621      6.71283
    0.275815   -0.0524641      6.72955
     0.29279    -0.051723      6.74096
     0.31353   -0.0405209      6.72482
    0.314381   -0.0300289      6.69665
    0.334346   -0.0292632       6.7087
    0.335029   -0.0186111      6.68057
    0.315066   -0.0192519      6.66855
     0.35517   -0.0179561      6.69266
     0.35866   -0.0495697      6.78749
    0.382111    -0.038663      6.77179
    0.363317   -0.0391156      6.75978
    0.386655   -0.0281595      6.74407
    0.405377   -0.0276938      6.75613
